date,equity
2006-01-31,1.0286915355642667
2006-02-28,1.0301185927404009
2006-03-31,1.0746439951904327
2006-04-28,1.0800077364810885
2006-05-31,1.024814707466592
2006-06-30,1.0130210150756265
2006-07-31,1.0032719301753068
2006-08-31,1.0454061979527058
2006-09-29,1.0538539097377493
2006-10-31,1.0776639761775169
2006-11-30,1.0653936864860891
2006-12-29,1.0949555726773397
2007-01-31,1.1201765816305835
2007-02-28,1.1136453647298177
2007-03-30,1.1394379492708953
2007-04-30,1.1762607848891038
2007-05-31,1.157303859584695
2007-06-29,1.208994643820761
2007-07-31,1.2453871762485025
2007-08-31,1.2386776240002708
2007-09-28,1.2818540109819967
2007-10-31,1.3671541191292997
2007-11-30,1.3472380201338912
2007-12-31,1.3960787361854585
2008-01-31,1.4224262533185894
2008-02-29,1.4548852429765096
2008-03-31,1.4458231288116368
2008-04-30,1.5286410058368882
2008-05-30,1.581264145963448
2008-06-30,1.600922251122276
2008-07-31,1.7635311503387479
2008-08-29,1.7633875596311526
2008-09-30,1.6616698206720493
2008-10-31,1.6269641635812926
2008-11-28,1.5413770722105051
2008-12-31,1.6941376826236456
2009-01-30,1.8603201511300675
2009-02-27,2.033816949373417
2009-03-31,2.092672730175353
2009-04-30,1.9478607207998697
2009-05-29,1.9306417095736328
2009-06-30,2.1144075973297713
2009-07-31,2.1473370596456656
2009-08-31,2.0926873131007726
2009-09-30,2.0327756099421768
2009-10-30,1.9851376386527173
2009-11-30,1.9692734452726952
2009-12-31,2.0299565013433565
2010-01-29,2.0491165601958348
2010-02-26,2.178205829953436
2010-03-31,2.3080432326612708
2010-04-30,2.447899951967425
2010-05-28,2.416040238524969
2010-06-30,2.4176880207347766
2010-07-30,2.428047023571082
2010-08-31,2.33174983088144
2010-09-30,2.4343475771901706
2010-10-29,2.4565472479583508
2010-11-30,2.4870920928744615
2010-12-31,2.434975841050099
2011-01-31,2.446008742907986
2011-02-28,2.4473369556938405
2011-03-31,2.4823492137109895
2011-04-29,2.475261273651955
2011-05-31,2.5073055465271437
2011-06-30,2.518694383426592
2011-07-29,2.5667147988822174
2011-08-31,2.6056488302064222
2011-09-30,2.555776559084171
2011-10-31,2.684560480640276
2011-11-30,2.709448622775371
